STATE,MUNICIPALITY
AC,Cruzeiro do Sul
AC,Tarauacm
AM,Anama
MT,Ga
AC,Tarauace
TO,Formoso do Araguaia
TO,Lagoa da Confusao
TO,Pium
MT,Paranatinga
RO,Alta Floresta d'Oeste
RO,Sao Francisco do Guapora
PA,Itaituba
MA,Itaipava do Grajaa
MT,Planalto da Serra
PA,Moju
RO,Espigao d'Oeste
RO,Pimenta Bueno
RR,Cant
MT,Pocont
MT,Barra do Bugres
MT,Tangar  da Serra
MA,Grajaj
PA,Jacareacanga
PA,lix do Xingu
PA,Senador Josu Porf
PA,Bom Jesus do Tocantins
RO,Sao Francisco do Guaporf
RO,Sao Miguel do Guapor
RO,Guajar
RO,Mirim
RO,Alto Alegre do Parecis
RO,Cacoal
RO,Rondolcndia
PA,Baiao
PA,Tucurub
RO,Chupinguaia
PA,Agua Azul do Norte
PA,MarabR
PA,Parauapebas
PA,Tomb-Adu
AC,Manoel Urbano
AC,Santa Rosa do Purus
MT,Nova Canaa do Norte
MT,Tabapora
MT,Quer
AM,Eirunepe
AM,Ipixuna
AM,Japurs
AM,Japura
AM,Canutama
PA,Aveiro
AM,Barreirinha
AM,Itaituba
AM,Manaus
AM,Parintins
AM,Librea
AM,Humaiti
AM,ManicorR
AM,Careiro da V
AM,Tonantins
AM,Novo Airao
AM,Presidente Figueiredo
RR,Rorainipolis
RR,Sao Joao da Baliza
AM,Coari
AM,Tabatinga
AM,L
AM,Jurun
MT,Brasnorte
AM,Tapaud
RR,Caracara
MT,Campinepolis
MT,CampinFpolis
MT,Nova Xavantina
RR,Cantx
RR,Canta
AC,Porto Walter
AC,Tarauacs
AM,Santo Ant
RR,Normandia
RR,Pacaraima
RR,Uiramuta
MA,Centro Novo do Maranhao
MA,Governador Newton Bello
MA,Sao Joao do Caro
MA,Zt Doca
MA,Bom Jardim
RO,Corumbiara
MT,Pontes e Lacerda
MT,Porto Esperidiao
MT,Vila Bela da Santasima Trindade
PA,Sao Falix do Xingu
MT,Peixoto de Azevedo
MT,Sao Josc do Xingu
PA,Anapu
PA,Sao Fulix do Xingu
PA,Senador Jos  Porfsrio
MT,Feliz Natal
MT,Gaxcha do Norte
MT,Marcelondia
MT,Nova Ubirata
MT,Quertncia
MT,Sao Filix do Araguaia
MT,Sao Josa do Xingu
TO,Cachoeirinha
TO,Maurillndia do Tocantins
TO,Sao Bento do Tocantins
TO,Tocantinapolis
RO,Alvorada d'Oeste
RO,Cacaulendia
RO,Campo Novo de Rondonia
RO,Costa Marques
RO,Governador Jorge Teixeira
RO,Guajar -Mirim
RO,Jaru
RO,Mirante da Serra
RO,Monte Negro
RO,Nova Mamor
AM,HumaitP
AM,Japurm
PA,Garrafao do Norte
PA,Nova Esperana do Piri 
PA,Paragominas
PA,Santa Luzia do Para
MA,Araguana
MA,Centro do Guilherme
MA,Maranhaozinho
MA,Santa Luzia do Parux
MA,Za Doca
MT,Apiacas
MT,Campo Novo do Parecis
MT,Diamantino
MT,Nova MaringM
MT,Guaranta do Norte
MT,Matupa
AM,Tapaui
PA,Sao Felix do Xingu
AC,Assis Brasil
AC,Sena Madureira
MT,Campos de Jalio
MT,Sapezal
MT,Conquista D'Oeste
PA,Placas
PA,Uruara
MT,Colniza
MT,Barra do GarRas
MT,Barra do Gar as
AM,Labrea
MA,Formosa da Serra Negra
MA,Mirador
PA,Maraba
PA,Sao Domingos do Araguaia
PA,Sao Geraldo do Araguaia
AM,Barcelos
RR,Caracarai
RR,Mucajai
AM,Manicora
"PA, TO",Araguacema
"PA, TO",Santa Maria das Barreiras
AM,Careiro da Varzea
PA,Aurora do Para
PA,Santa Maria do Para
PA,Toma-Aiu
PA,Goianysia do Para
PA,Portel
PA,Santarem
PA,Santarnm
PA,Itamarati
PA,Santar
PA,Santarum
PA,Trairao
AM,Careiro da V rzea
AM,Manaus e Novo Airao
AM,HumaitV
RO,Ji-Parana
RO,Sao Francisco do Guaporo
RO,Seringueiras
MT,Juina
MT,Santa Cruz do Xingu
PA,Sao Felix
MT,Marcel
MT,Campin
MT,Campin(polis
MT,Santo Ant
MT,Nova Nazaro
MT,Santo Antonio do Leverger
MT,Nortelandia
MT,Vila Bela da Santossima Trindade
AM,Jurum
AM,Jutau
AM,Sao Paulo de Olivenva
RO,Candeias do Jamari
AM,Sao Paulo de Olivenoa
AM,Sao Paulo de Oliven
RO,Vilhena
AM,Careiro da Vdrzea
PA,Senador JosU Porf
MS,CorumbG
TO,Tocantinapolis e Nazar 
MT,Luciara e Santa Terezinha
PA,Santarbm
PA,Santarmm
MT,Apiaces
MT,Cotriguasu
RO,Pimenteiras do Oeste
MT,Rondol ndia
AM,Tapauo
PA,Floresta do Araguaia
PA,Pau d'Arco
PA,Redenoao
PA,Tucuru
PA,Santa Maria das Barrreiras
AM,Jutam
AM,Santo Antinio do Ipe
MT,Vila Bela da Santassima Trindade
TO,Sandolandia
RR,Caroebe
PA,Oriximina
PA,Belterra
AM,Tapaua
AM,Japur 
