OBJECTID,ORGANIZATION
278,Secretaria de Estado do Meio Ambiente do Amape
279,Instituto de Desenvolvimento Florestal e da Biodiversidade do Para
280,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
281,Secretaria de Estado do Meio Ambiente do Amazonas
282,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
283,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
284,Secretaria de Estado do Meio Ambiente do Amazonas
285,Instituto de Desenvolvimento Florestal e da Biodiversidade do Para
286,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
287,Fundacao Estadual do Meio Ambiente e Recursos Hidricos de Roraima
288,Instituto de Meio Ambiente do Mato Grosso do Sul
289,Secretaria de Estado do Meio Ambiente do Amazonas
290,Secretaria de Estado de Meio Ambiente e Recursos Naturais do Maranhao
291,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
292,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
293,Secretaria de Estado do Meio Ambiente do Amazonas
294,Instituto de Desenvolvimento Florestal e da Biodiversidade do Para
295,Secretaria de Estado do Meio Ambiente do Amazonas
296,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
297,Secretaria de Estado do Meio Ambiente do Amazonas
298,Instituto Natureza do Tocantins
299,Secretaria de Estado do Meio Ambiente do Amazonas
300,Secretaria do Meio Ambiente da Bahia
301,Secretaria de Estado do Meio Ambiente do Amazonas
302,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
303,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
304,Secretaria de Estado de Meio Ambiente e Recursos Naturais do Maranhao
305,Secretaria de Estado do Meio Ambiente do Amazonas
306,Instituto de Desenvolvimento Florestal e da Biodiversidade do Para
307,Secretaria de Estado do Meio Ambiente de Mato Grosso
308,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
309,Secretaria de Estado do Meio Ambiente do Amazonas
310,Instituto Natureza do Tocantins
311,Secretaria de Estado do Meio Ambiente de Mato Grosso
312,Secretaria de Estado do Meio Ambiente do Amazonas
313,Secretaria de Estado do Meio Ambiente de Mato Grosso
314,Secretaria de Estado do Meio Ambiente do Amazonas
315,Secretaria de Estado do Meio Ambiente do Amazonas
316,Secretaria de Estado do Meio Ambiente do Amazonas
317,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
318,Secretaria de Estado de Meio Ambiente do Acre
319,Instituto de Desenvolvimento Florestal e da Biodiversidade do Para
320,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
321,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
322,Secretaria de Estado do Meio Ambiente do Amape
323,Secretaria de Estado do Meio Ambiente do Amape
324,Secretaria de Estado do Meio Ambiente do Amazonas
325,Instituto de Desenvolvimento Florestal e da Biodiversidade do Para
326,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
327,Instituto de Desenvolvimento Florestal e da Biodiversidade do Para
328,Secretaria de Estado do Meio Ambiente do Amazonas
329,Secretaria de Estado de Meio Ambiente e Recursos Naturais do Maranhao
330,Secretaria de Estado do Meio Ambiente do Amazonas
331,Xavante
332, Xavante
332,Bororo
333,Bakairi
334,Nambikwara
335,Makuxi
336,Karaj
337,Karaji
338,Karaji
339,Kaxinawn
340,Xerente
341,Mura
342,Miranha
343,Paumari
344,Mura
345,Jamamadi
346,Diahui
347,Apurina
348,Mura
349,Mura
350, Wapixana
350,Makuxi
351, Yawanaw
351,Katukina
352,Karipuna
353, Wayana
353,Apalaa
354, Wayana
354,Apalaa
355,Jaminawa
356, Kulina
356,Kaxinawn
357,Guarani Mbyi
358,Kulina
359,Kaxinawn
360,Kampa
361, Kwazr
361,Aikann
362,Cinta Larga
363,Kulina
364,Kayap
365,Kayapn
366,Waripi
367,Pakaanova
368,Pakaanova
369,Bororo
370,Arara
371,Makuxi
372, Wapixana
372,Makuxi
373,Apiak
374, Wapixana
374,Makuxi
375,Arara
376,Guaj
377,Galibi
378, Karipuna
378,Galibi
379,Canela
380,Karaja
381,Asurinr
382,Guajajara
383,Makuxi
384, Wapixana
384,Makuxi
385,Juruna
386,Parakana
387,Paresi
388,Pakaanova
389,Cinta Larga
390,Makuxi
391,Bororo
392,Wasusu
393,Temb1
394, Wapixana
394,Makuxi
395, Karajo
395,Guarani
396,Temb
397,Kaxinawn
398,Canela
399,Kampa
400,Kaxinawn
401,Kampa
402,Nukuini
403,Guajajara
404,Xavante
405, Kaxinawo
405,Katukina
406,Apurina
407,Apurina
408,Ban
409,Apurina
410,Apurina
411,Apurina
412,Kanamari
413, Maki
413,Kanamari
414,Kanamari
415,Katukina
416,Paumari
417,Tenharin
418,Apurina
419,Miranha
420, Paumari
420,Apurina
421,Kulina
422,Tikuna
423,Tikuna
424,Mura
425, Waiwvi
425,Hixkaryana
426,Mayoruna
427,Miranha
428,Kamb
429,Mura
430,Mura
431,Mura
432,Mura
433,Kamb
434,Tikuna
435,Tikuna
436,Mura
437, Kulina
437, Matos
437, Mayoruna
437,Kanamari
438,Tikuna
439,Kanamari
440,Tikuna
441,Amanay
442,Krikat
443,Mura
444,Tikuna
445,Mura
446, Tora
446,Apurina
447,Guajajara
448,Bar
449,Nambikwara
450,Kokama
451,Zuruaha
452,Xavante
453,Tapirapi
454,Krah
455,Nambikwara
456,Bororo
457,Karaji
458,Paumari
459,Mura
460,Paumari
461,Munduruku
462,Apurina
463,Katukina
464,Tikuna
465,Tikuna
466,Wauru
467,Kaxinawn
468,Avo
469,Xavante
470,Isolados
471,Kararar
472, Jaminawa
472,Arara
473,Munduruku
474, Wapixana
474,Makuxi
475,Kaxinawn
476, Kaxinawo
476,Kampa
477,Kaxinawn
478,Timbira
479,Bakairi
480,Anambr
481,Cinta Larga
482,Wapixana
483,Wapixana
484,Guajajara
485,Guat
486,Paresi
487,Paresi
488,Guajajara
489,Munduruku
490,Makuxi
491,Arawetr
492,Makuxi
493, Wapixana
493,Makuxi
494,Kaxinawn
495,Negorote
496,Gaviao
497,Makuxi
498,Wapixana
499,Makuxi
500, Tupari
500,Makura
501, Makur
501,Jabuti
502,Sakiriabar
503,Pakaanova
504,Wapixana
505,Surua
506,Asurin
507, Laiana
507,Aikann
508,Barbados
509,Xerente
510,Xikrin
511,Zor
512,Temb 
513, Kulina
513,Kaxinawn
514,Guajajara
515,Kayabi
516,Karipuna
517,Nambikwara
518,Suy
519,Apurina
520,Apurina
521,Jamamadi
522,Kulina
523, Baras na
523, Barr
523, Karapana
523, Suriana
523, Wanana
523,Araposo
524, Mak 
524, Tukano
524, Tuycka
524,Desana
525,Juma
526,Apurina
527,Tikuna
528,Tikuna
529,Satere-Mawe
530,Apurina
531,Tenharin
532,Apurina
533,Apurina
534,Mura
535,Miranha
536,Diahui
537,Tikuna
538, Waimiri
538,Atroari
539,Kamb
540,Mura
541,Mura
542,Mura
543,Mura
544,Kamb
545,Poyanawa
546,Apurina
547,Tikuna
548,Apurina
549,Isolados
550,Deni
551,Av
552,Kulina
553,Tikuna
554,Mura
555,Mura
556, Bar 
556, Desana
556, Mak
556, TariIna
556, Tukano
556,Ban6wa
556,
557,Menku
558,Hi Merima
559, Makuxi
559, Wapixana
559,Jaricuna
560,Mawayana
561,Xavante
562,Xavante
563,Xavante
564, Wapixana
564,Makuxi
565,Wapixana
566,Wapixana
567,Makuxi
568,Arara
569,Kokama
570,Tikuna
571,Ingariko
571,Makuxi
571,Patamona
571,Taurepang
571,Wapixana
572,GuajL
573,Guajajara
574,Kuru
575,Akunt's
576,Mak
577,Mak
578,Xiquitano
579,Isolados
580,Parakana
581,Mentuktire
582,Mura
583, Araweto
583, Asurins
583, Xikrin
583,Apiterewa
584, Suyj
584,Mentuktire
585,Zo'
586,Apinaya
587, Wapixana
587,Makuxi
588,Naravute
589,Uru-pa-in
590, Piraha
590,Mura
591,Diahui
592, Yawanawa
592,Katukina
593,Cayxana
594, Timbira
594, Urubu Kaapor
594,Tembi
595,Urubu Kaapor
596, Kayabi
596, Munduruku
596,Apiake/Koyabi
597,Munduruku
598, Kayabi
598, Munduruku
598,Apiake/Koyabi
599,MenkrangnotU
600,Tikuna
601,Paresi
602,Guajajara
603,Irantxe
604,Irantxe
605,Panare
606,Apurina
607,Apurina
608,MenkrangnotI
609, Machineri
609,Jaminawa
610,Jaminawa
611,Paresi
612,Paresi
613,Paresi
614,Halotesu
615,Paresi
616,Arara
617,Isolados
618,Xavante
619,Bororo
620,Wapixana
621, Wapixana
621,Makuxi
622,kanela
623,Krahp-Kanela
624,Indios Isolados
625,Canela
626,Guajajara
627,Aikewar
628,Yanomami
629,Jamamadi
630,Pakaanova
631,Mura
632,Tikuna
633,Tikuna
634,Tikuna
635,Mura
636,Mura
637,Tenharin
638,Karajs
639,Mura
640,Canela
641,Guajajara
642,kanela
643,Tembi
644,Amanay
645,Asurinp
646,Juruna
647,Borari
648,Arapiun
649,Arapiun
650,Tupaiu
651,Tupaiu
652,Arapiun
653,Arapiun
654,Arapiun
655, Cara Preta
655, Tupinambt
655,Munduruku
656, Cara Preta
656, Maytapu
656,Munduruku
657,Munduruku
658,Munduruku
659,Munduruku
660,Mura
661,Mura
662,Mura
663,Mura
664,Mura
665,Mura
666,Mura
667,Mura
668,Mura
669,Apurina
670,Tikuna
671,Apurina
672, 
673,Mura
674,Tor
675,Apurina
676,Zor
677,Gaviao
678,Purubore
679,Nambikwara
680,Enauwend-Nawi
681, SuruG
681,Aikewar
682,Kayape
683,Kayabi
684,Ikpeng
685,Xavante
686,Xavante
687,Xavante
688,Xavante
689,Xavante
690,Xavante
691, Xavante
691,Bororo
692,Bororo
693,Paresi
694,Menku
695,Paresi
696,Nambikwara
697, 
698,Bar
699,Kanamari
700, Tikuna
700,Kokama
701,Kokama
702,Tikuna
703,Jaminawa
704,Mayoruna
705,Kokama Tikuna
706,Karipuna
707,Kulina
708,Kanamari
709,Zuruaha
710,Apurina
711,Apurina
712,Apurina
713,Apurina
714, Jamamadi
714,Apurina
715,Jamamadi
716, Jamamadi
716,Apurina
717,Jaminawa
718,Kaxinawn
719,Jaminawa
720,Jaminawa
721,Machineri
722, Jaminawa
722,Arara
723,Nau 
724,Nukuini
725,Munduruku
726,Bororo
727,Kokama
728, Tikuna
728,Kokama
729,Cinta Larga
730,Enauwend-Nawi
731,Enauwend-Nawi
732,Gaviao
733,Mura
734,Arara
735,Amanay
736,Tikuna
737,Guato
738,Apinaya
739,Karaj
740,Karaj
741,Juruna
742, 
743,Tupinamb
744,Munduruku e Arapiun
745,Maku e Tukano
746,Xiquitano
747,Karipuna
748,Suy
749,Kaxuyana
750, Cara Preta/Munduruku
750,Maytapu
751,Apiake e Isolados
752,Mura
753,Erikbakts
754,Erikbakts
755,Erikbakts
756,Karaj
757,Tunayana
758,Isolados
759,Krenak
760,Arara
761,Tikuna
762,Isolados
763,Isolados
764,Mura
765,Banawr
766,Kayap 
767,Kaxarari
768,Apurina
769, Karajg
769,Javap
770,Tikuna
771,Asurin
772, Taridna
772, Tukano
772,Desana
773,Karaja
774,Karipuna
775,Kokama
776,Mura
777, Tikuna
777,Kokama
778,Kuru
779,Tikuna
780,Manairisu
781,Javap
782,Javap
784,Mura
785,Kokama
786,Pakaanova
787,Tenharin
788,Munduruku
789,Munduruku
790,Cayxana
791, Jarawara
791, Kanamanti
791,Jamamadi
792,Karaj
793,Karaj
794,Kokama
795,Kokama
796,Terena
797,Mak
